wid,txtid,inv_nr,cth_number,lnr,trans,text,text_tags,text_clean,subscr,matlect,num,sign,corr,deleted,added,ras,rasx,gap,note,link,mrp0sel,combined,,,,,,,,,
22,KBo 62.62,,832,7′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
23,KBo 62.62,,832,7′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
24,KBo 62.62,,832,7′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
25,KBo 62.62,,832,7′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
26,KBo 62.62,,832,7′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
27,KBo 62.62,,832,7′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
28,KBo 62.62,,832,7′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
29,KBo 62.62,,832,7′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
30,KBo 62.62,,832,7′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
31,KBo 62.62,,832,7′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
32,KBo 62.62,,832,7′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 68.245,,832,1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
1,KBo 68.245,,832,1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
2,KBo 68.245,,832,2′,nu,n,"n<del_in/>u<corr c=""?""/>",n[u,,,,,"n[u<corr c=""?""/>",,,,,,,,1,{'mrp1': ' nu @  @ CONNn @  @ '},,,,,,,,,
3,KBo 68.245,,832,3′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
4,KBo 68.245,,832,3′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
5,KBo 68.245,,832,3′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
6,KBo 68.245,,832,3′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
7,KBo 68.245,,832,3′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
8,KBo 68.245,,832,3′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
9,KBo 68.245,,832,3′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
10,KBo 68.245,,832,3′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
11,KBo 68.245,,832,3′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
12,KBo 68.245,,832,3′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
13,KBo 68.245,,832,3′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 68.201,,832,r. Kol. 1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
1,KBo 68.201,,832,r. Kol. 1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
2,KBo 68.201,,832,r. Kol. 2′,ita~,i-da-,i-da-<laes_in/>a<laes_fin/>-<del_in/>,i-da-⸢a⸣-[,,,,,,,,,,,,,DEL,{},,,,,,,,,
3,KBo 68.201,,832,r. Kol. 3′,ŠÀit,,<sGr>ŠÀ</sGr>-it,ŠÀ-it,,,,,,,,,,,,,???,{},,,,,,,,,
4,KBo 68.201,,832,r. Kol. 3′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
5,KBo 68.201,,832,r. Kol. 4′,nu,n,n<del_in/>u,n[u,,,,,,,,,,,,,1,{'mrp1': ' nu @  @ CONNn @  @ '},,,,,,,,,
6,KBo 68.201,,832,r. Kol. 4′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
7,KBo 68.201,,832,r. Kol. 4′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
8,KBo 68.201,,832,r. Kol. 4′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
9,KBo 68.201,,832,r. Kol. 4′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
10,KBo 68.201,,832,r. Kol. 4′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
11,KBo 68.201,,832,r. Kol. 4′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
12,KBo 68.201,,832,r. Kol. 4′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
13,KBo 68.201,,832,r. Kol. 4′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
14,KBo 68.201,,832,r. Kol. 4′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 63.228,,832,1′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
1,KBo 63.228,,832,1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
2,KBo 63.228,,832,1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
3,KBo 63.228,,832,2′,~zi,,<del_fin/>-zi,]-zi,,,,,,,,,,,,,DEL,{},,,,,,,,,
4,KBo 63.228,,832,2′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
5,KBo 63.228,,832,3′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
6,KBo 63.228,,832,3′,utai,,<laes_in/>ú-da<laes_fin/>-i,⸢ú-da⸣-i,,,,,,,,,,,,,  ,"{'mrp1': ' ud=a- @ (her)bringen @ 3SG.PRS @ II.3 @ ', 'mrp2': ' ut=a- @ Uda @ GN.D/L.SG @ 39.2 @ URU'}",,,,,,,,,
7,KBo 63.228,,832,3′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
8,KBo 63.228,,832,3′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
9,KBo 63.228,,832,4′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
10,KBo 63.228,,832,4′,peran,pé-ra-an,pé-ra-an,pé-ra-an,,,,,,,,,,,,,  ,"{'mrp1': ' peran @ vor @  @ ADV @ ', 'mrp2': ' peran @ vor @  @ POSP @ ', 'mrp3': ' peran @ vor- @  @ PREV @ ', 'mrp4': 'per, parn- @ Haus @    { a → NOM.SG.N}   { b → ACC.SG.N}   { c → STF}   { d → D/L.SG}   { e → NOM.PL.N}   { f → ACC.PL.N} @ 16        += an @ PPRO.3SG.C.ACC @  @ '}",,,,,,,,,
11,KBo 63.228,,832,4′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
12,KBo 63.228,,832,5′,~ta,,<del_fin/>-da,]-da,,,,,,,,,,,,,DEL,{},,,,,,,,,
13,KBo 63.228,,832,5′,,ḫal-x,ḫal-x,ḫal-x,,,,,,,,,,,,,DEL,{},,,,,,,,,
14,KBo 63.228,,832,5′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
15,KBo 63.228,,832,6′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
16,KBo 63.228,,832,6′,,x x,x x,x x,,,,,,,,,,,,,DEL,{},,,,,,,,,
17,KBo 63.228,,832,6′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
18,KBo 63.228,,832,6′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
19,KBo 63.228,,832,6′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
20,KBo 63.228,,832,6′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
21,KBo 63.228,,832,6′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
22,KBo 63.228,,832,6′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
23,KBo 63.228,,832,6′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
24,KBo 63.228,,832,6′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
25,KBo 63.228,,832,6′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
26,KBo 63.228,,832,6′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 63.248,,832,Rs. III? 1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
1,KBo 63.248,,832,Rs. III? 1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
2,KBo 63.248,,832,Rs. III? 2′,na~,na,"na<corr c=""?""/>-<del_in/>",na-[,,,,,"na<corr c=""?""/>",,,,,,,,DEL,{},,,,,,,,,
3,KBo 63.248,,832,Rs. III? 3′,ḫaz~,ḫa-a,"ḫa-a<del_in/>z<corr c=""?""/>-",ḫa-a[z-,,,,,"a[z<corr c=""?""/>",,,,,,,,DEL,{},,,,,,,,,
4,KBo 63.248,,832,Rs. III? 4′,anta,an-d,an-d<del_in/>a,an-d[a,,,,,,,,,,,,,  ,"{'mrp1': ' a=a- @ warm sein @ 3PL.PRS.MP @ III.2 @ ', 'mrp2': ' a=a- @ warm sein @    { a → PTCP.NOM.PL.N}   { b → PTCP.ACC.PL.N}   { c → PTCP.STF} @ III.2 @ ', 'mrp3': ' anda @ darin @  @ ADV @ ', 'mrp4': ' anda @ in @  @ POSP @ ', 'mrp5': ' anda @ hinein- @  @ PREV @ '}",,,,,,,,,
5,KBo 63.248,,832,Rs. III? 5′,,li-x,li-x,li-x,,,,,,,,,,,,,DEL,{},,,,,,,,,
6,KBo 63.248,,832,Rs. III? 5′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
7,KBo 63.248,,832,Rs. III? 6′,našta,na-aš-t,na-aš-t<del_in/>a,na-aš-t[a,,,,,,,,,,,,,  ,"{'mrp1': ' n=ašta @  @ CONNn=OBPst @  @ ', 'mrp2': ' n=an=šta @  @ CONNn=PPRO.3SG.C.ACC=OBPst @  @ ', 'mrp3': ' n=aš=šta @  @    { a → CONNn=PPRO.3SG.C.NOM=OBPst}   { b → CONNn=PPRO.3PL.C.ACC=OBPst} @  @ ', 'mrp4': ' n=at=šta @  @    { a → CONNn=PPRO.3SG.N.NOM=OBPst}   { b → CONNn=PPRO.3SG.N.ACC=OBPst} @  @ '}",,,,,,,,,
8,KBo 63.248,,832,Rs. III? 6′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
9,KBo 63.248,,832,Rs. III? 6′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
10,KBo 63.248,,832,Rs. III? 6′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
11,KBo 63.248,,832,Rs. III? 6′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
12,KBo 63.248,,832,Rs. III? 6′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
13,KBo 63.248,,832,Rs. III? 6′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
14,KBo 63.248,,832,Rs. III? 6′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
15,KBo 63.248,,832,Rs. III? 6′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
16,KBo 63.248,,832,Rs. III? 6′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 66.267,,832,1′,,,"<space c=""44""/>",********************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
1,KBo 66.267,,832,1′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
2,KBo 66.267,,832,2′,,,"<space c=""44""/>",********************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
3,KBo 66.267,,832,2′,ta,,<del_fin/>da<del_in/>,]da[,,,,,,,,,,,,,  ,"{'lg': 'Hit', 'mrp1': ' ta @  @ CONNt @  @ ', 'mrp2': ' dā-/d- @ nehmen @ 2SG.IMP @ II.2 @ ', 'mrp3': ' da= @ Verdickung(?) @    { a → NOM.SG(ABBR)}   { b → ACC.SG(ABBR)}   { c → NOM.PL(ABBR)}   { d → ACC.PL(ABBR)}   { e → GEN.SG(ABBR)}   { f → GEN.PL(ABBR)}   { g → D/L.SG(ABBR)}   { h → D/L.PL(ABBR)}   { i → ALL(ABBR)}   { j → ABL(ABBR)}   { k → INS(ABBR)}   { l → VOC.SG(ABBR)}   { m → VOC.PL(ABBR)} @ 14.2.3 @ ', 'mrp4': ' ta= @ Verdickung(?) @    { a → NOM.SG(ABBR)}   { b → ACC.SG(ABBR)}   { c → NOM.PL(ABBR)}   { d → ACC.PL(ABBR)}   { e → GEN.SG(ABBR)}   { f → GEN.PL(ABBR)}   { g → D/L.SG(ABBR)}   { h → D/L.PL(ABBR)}   { i → ALL(ABBR)}   { j → ABL(ABBR)}   { k → INS(ABBR)}   { l → VOC.SG(ABBR)}   { m → VOC.PL(ABBR)} @ 14.2.3 @ ', 'mrp5': ' da= @ gesamt @    { a → NOM.SG(ABBR)}   { b → ACC.SG(ABBR)}   { c → NOM.PL(ABBR)}   { d → ACC.PL(ABBR)}   { e → GEN.SG(ABBR)}   { f → GEN.PL(ABBR)}   { g → D/L.SG(ABBR)}   { h → D/L.PL(ABBR)}   { i → ALL(ABBR)}   { j → ABL(ABBR)}   { k → INS(ABBR)}   { l → VOC.SG(ABBR)}   { m → VOC.PL(ABBR)}   { n → ADV} @ 14.2.4 @ '}",,,,,,,,,
4,KBo 66.267,,832,3′,,,"<space c=""40""/>",****************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
5,KBo 66.267,,832,3′,šuli,,"<del_fin/>šu-l<del_in/>i<corr c=""?""/>",]šu-l[i,,,,,"l[i<corr c=""?""/>",,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
6,KBo 66.267,,832,4′,,,"<space c=""35""/>",***********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
7,KBo 66.267,,832,4′,MUḪALDIM,,"<d>L<del_fin/>Ù</d><sGr>MUḪALDIM</sGr><corr c=""?""/>",~L]Ù~MUḪALDIM,,,,,"MUḪALDIM<corr c=""?""/>",,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
8,KBo 66.267,,832,4′,,,<del_in/>,[,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
9,KBo 66.267,,832,5′,,,"<space c=""41""/>",*****************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
10,KBo 66.267,,832,5′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
11,KBo 66.267,,832,5′,,x-w,"x-w<del_in/>a<corr c=""?""/>",x-w[a,,,,,"w[a<corr c=""?""/>",,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
12,KBo 66.267,,832,6′,,,"<space c=""51""/>",***************************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
13,KBo 66.267,,832,6′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
14,KBo 66.267,,832,6′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
15,KBo 66.267,,832,6′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
16,KBo 66.267,,832,6′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
17,KBo 66.267,,832,6′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
18,KBo 66.267,,832,6′,,,"<subscr c=""AO:--index""/>",,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
19,KBo 66.267,,832,6′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
0,KBo 66.255,,832,r. Kol. 1′,,,"<space c=""40""/>",****************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
1,KBo 66.255,,832,r. Kol. 1′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
2,KBo 66.255,,832,r. Kol. 2′,,,"<space c=""31""/>",*******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
3,KBo 66.255,,832,r. Kol. 2′,par,,"<del_fin/>pár<corr c=""?""/>",]pár,,,,,"]pár<corr c=""?""/>",,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
4,KBo 66.255,,832,r. Kol. 2′,,,<del_in/>,[,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
5,KBo 66.255,,832,r. Kol. 3′,,,"<space c=""31""/>",*******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
6,KBo 66.255,,832,r. Kol. 3′,,,<del_fin/>x-zi,]x-zi,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
7,KBo 66.255,,832,r. Kol. 3′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
8,KBo 66.255,,832,r. Kol. 4′,,,"<space c=""31""/>",*******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
9,KBo 66.255,,832,r. Kol. 4′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
10,KBo 66.255,,832,r. Kol. 5′,,,"<space c=""23""/>",***********************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
11,KBo 66.255,,832,r. Kol. 5′,menaḫḫanta,me-n,me-n<del_fin/>a-aḫ-ḫa-an-da<del_in/>,me-n]a-aḫ-ḫa-an-da[,,,,,,,,,,,,,  ,"{'lg': 'Hit', 'mrp1': ' menaḫḫanda @ gegenüber @  @ ADV @ ', 'mrp2': ' menaḫḫanda @ gegenüber @  @ POSP @ ', 'mrp3': ' menaḫḫanda @ entgegen- @  @ PREV @ '}",,,,,,,,,
12,KBo 66.255,,832,r. Kol. 6′,,,"<space c=""31""/>",*******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
13,KBo 66.255,,832,r. Kol. 6′,ak,,<del_fin/>a-ak<del_in/>,]a-ak[,,,,,,,,,,,,,1,"{'lg': 'Hit', 'mrp1': ' akk- @ sterben @ 2SG.IMP @ II.1.2.2 @ '}",,,,,,,,,
14,KBo 66.255,,832,r. Kol. 7′,,,"<space c=""31""/>",*******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
15,KBo 66.255,,832,r. Kol. 7′,,,<del_fin/>x-x<del_in/>,]x-x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
16,KBo 66.255,,832,r. Kol. 7′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
17,KBo 66.255,,832,r. Kol. 7′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
18,KBo 66.255,,832,r. Kol. 7′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
19,KBo 66.255,,832,r. Kol. 7′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
20,KBo 66.255,,832,r. Kol. 7′,,,"<subscr c=""AO:--index""/>",,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
21,KBo 66.255,,832,r. Kol. 7′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
0,KBo 62.90,,832,1′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
1,KBo 62.90,,832,1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
2,KBo 62.90,,832,1′,A-NA,,<aGr>A-NA</aGr>,#A-NA#,,,,,,,,,,,,,  ,{'mrp1': ' ANA @ zu @    { a → …:D/L.SG}   { b → …:D/L.PL}   { c → …:ALL} @  @ '},,,,,,,,,
3,KBo 62.90,,832,1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
4,KBo 62.90,,832,2′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
5,KBo 62.90,,832,2′,,x x,x x,x x,,,,,,,,,,,,,DEL,{},,,,,,,,,
6,KBo 62.90,,832,2′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
7,KBo 62.90,,832,2′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
8,KBo 62.90,,832,2′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
9,KBo 62.90,,832,2′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
10,KBo 62.90,,832,2′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
11,KBo 62.90,,832,2′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
12,KBo 62.90,,832,2′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
13,KBo 62.90,,832,2′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
14,KBo 62.90,,832,2′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
15,KBo 62.90,,832,2′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 66.167,,832,1′,,,"<space c=""31""/>",*******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
1,KBo 66.167,,832,1′,~ma,,<del_fin/><d>MEŠ</d>-ma,]~MEŠ~-ma,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
2,KBo 66.167,,832,1′,pi-/KAŠ,pí-/,pí-/<sGr>KAŠ</sGr><del_in/>,pí-/KAŠ[,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
3,KBo 66.167,,832,2′,,,"<space c=""26""/>",**************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
4,KBo 66.167,,832,2′,tai,,<del_fin/>da-a-i<del_in/>,]da-a-i[,,,,,,,,,,,,,  ,"{'lg': 'Hit', 'mrp1': ' dā-/d- @ nehmen @ 3SG.PRS @ II.2 @ ', 'mrp2': ' t=aye/a- @ stehlen @ 2SG.IMP @ I.7.5 @ ', 'mrp3': ' dai-/te-/ti(ya)- @ setzen @    { a → 3SG.PRS}   { b → 2SG.IMP} @ II.6.1 @ '}",,,,,,,,,
5,KBo 66.167,,832,3′,,,"<space c=""24""/>",************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
6,KBo 66.167,,832,3′,,,"<del_fin/>x-x-an<corr c=""?""/>-ni-ia-aš",]x-x-an-ni-ia-aš,,,,,"an<corr c=""?""/>",,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
7,KBo 66.167,,832,4′,,,"<space c=""47""/>",***********************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
8,KBo 66.167,,832,4′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
9,KBo 66.167,,832,4′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
10,KBo 66.167,,832,4′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
11,KBo 66.167,,832,4′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
12,KBo 66.167,,832,4′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
13,KBo 66.167,,832,4′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
14,KBo 66.167,,832,4′,,,"<subscr c=""AO:--index""/>",,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
15,KBo 66.167,,832,4′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
0,KBo 68.132,,832,lk. Kol. 1′,~ne,,<del_fin/>-ne,]-ne,,,,,,,,,,,,,DEL,{},,,,,,,,,
1,KBo 68.132,,832,lk. Kol. 1′,mema,me-ma,me-ma,me-ma,,,,,,,,,,,,,1,{'mrp1': ' mem=a- @ sprechen @ 2SG.IMP @ II.7.1 @ '},,,,,,,,,
2,KBo 68.132,,832,lk. Kol. 2′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
3,KBo 68.132,,832,lk. Kol. 2′,,x-iz-z,"x-iz-z<del_in/>i<corr c=""?""/><del_fin/>",x-iz-z[i],,,,,"z[i<corr c=""?""/>",,,,,,,,DEL,{},,,,,,,,,
